creator_id,topic,recent_video_transcript,posting_cadence_days,views_90d,clicks,leads,qualified_leads,enrollments,refunds,geography,language,category_tag,click_rate,lead_rate,qualification_rate,enrollment_rate
C1,EdTech;Productivity,Career roadmap for aspiring data scientists in 2024,1.8,500,7,1,1,0,0,INDIA,English,deep-dive,0.014,0.14285714285714285,1.0,0.0
C2,Analytics,SQL essentials for data analysis - from basics to advanced queries,13.8,4058,111,6,3,1,0,INDIA,English,tutorial;interview;case-study,0.027353376047313947,0.05405405405405406,0.5,0.3333333333333333
C3,EdTech,SQL essentials for data analysis - from basics to advanced queries,4.0,1076,24,2,1,0,0,INDIA,English,how-to,0.022304832713754646,0.08333333333333333,0.5,0.0
C4,Programming;Health,Complete Python tutorial for data science beginners with practical examples,10.9,14159,364,25,16,7,0,INDIA,English,interview,0.025708030228123454,0.06868131868131869,0.64,0.4375
C5,Statistics,SQL essentials for data analysis - from basics to advanced queries,4.2,500,9,1,1,0,0,INDIA,English,tips,0.018,0.1111111111111111,1.0,0.0
C6,SQL;Gaming,Feature engineering techniques for better machine learning models,12.4,7328,143,10,5,1,0,INDIA,English,tips,0.01951419213973799,0.06993006993006994,0.5,0.2
C7,SQL,Essential tools every data scientist should know,2.7,1020,28,1,1,0,0,INDIA,English,case-study;deep-dive,0.027450980392156862,0.03571428571428571,1.0,0.0
C8,Data Science;Finance,Career roadmap for aspiring data scientists in 2024,4.1,2653,63,4,2,0,0,INDIA,English,tips;tutorial,0.023746701846965697,0.06349206349206349,0.5,0.0
C9,Travel,UI/UX design principles for beginners,9.1,1708,25,1,1,0,0,INDIA,English,interview;tips,0.014637002341920375,0.04,1.0,0.0
C10,Crypto;Career Advice,Fitness routines for desk workers,7.8,14020,181,8,1,0,0,INDIA,English,advanced;tips;how-to,0.012910128388017118,0.04419889502762431,0.125,0.0
C11,Web Dev,Budget travel guide across India,12.5,10760,207,4,2,0,0,INDIA,English,tips,0.019237918215613384,0.01932367149758454,0.5,0.0
C12,Data Science,SQL essentials for data analysis - from basics to advanced queries,3.9,1322,28,1,1,0,0,INDIA,English,advanced,0.02118003025718608,0.03571428571428571,1.0,0.0
C13,Data Science,Career roadmap for aspiring data scientists in 2024,10.6,4216,105,8,5,1,0,INDIA,English,tutorial,0.024905123339658445,0.0761904761904762,0.625,0.2
C14,AI Tools;Crypto,Feature engineering techniques for better machine learning models,4.5,2401,63,3,1,0,0,INDIA,English,interview,0.026239067055393587,0.047619047619047616,0.3333333333333333,0.0
C15,SQL;Productivity,Complete Python tutorial for data science beginners with practical examples,5.1,1944,44,2,1,0,0,INDIA,English,deep-dive;review,0.02263374485596708,0.045454545454545456,0.5,0.0
C16,Design;SQL,Healthy cooking recipes for busy professionals,6.1,522,3,1,1,0,0,INDIA,English,case-study,0.005747126436781609,0.3333333333333333,1.0,0.0
C17,Marketing,Gaming industry insights and career opportunities,9.4,7729,161,3,1,0,0,INDIA,English,practical,0.020830637857420106,0.018633540372670808,0.3333333333333333,0.0
C18,Career Advice;Design,"Statistics for data science - probability, distributions, and hypothesis testing",5.9,1057,25,1,1,0,0,INDIA,English,interview;deep-dive,0.023651844843897825,0.04,1.0,0.0
C19,Machine Learning,SQL essentials for data analysis - from basics to advanced queries,6.7,11206,271,17,9,3,0,INDIA,English,beginner-friendly;interview;review,0.02418347313938961,0.06273062730627306,0.5294117647058824,0.3333333333333333
C20,Travel,Web development trends and best practices,13.6,6305,58,3,1,0,0,INDIA,English,tips,0.009199048374306107,0.05172413793103448,0.3333333333333333,0.0
C21,Health;Data Science,Productivity hacks for remote workers,7.7,500,4,1,1,0,0,INDIA,English,practical;beginner-friendly,0.008,0.25,1.0,0.0
C22,SQL,Career roadmap for aspiring data scientists in 2024,11.2,16007,383,20,11,4,0,INDIA,English,case-study;interview;deep-dive,0.023927031923533452,0.05221932114882506,0.55,0.36363636363636365
C23,EdTech,Breaking into data science without a technical background,12.5,5183,106,7,3,1,0,INDIA,English,tutorial,0.020451475979162647,0.0660377358490566,0.42857142857142855,0.3333333333333333
C24,Machine Learning,Breaking into data science without a technical background,10.9,3925,100,6,2,0,0,INDIA,English,case-study,0.025477707006369428,0.06,0.3333333333333333,0.0
C25,Statistics,Data visualization masterclass using Python matplotlib and seaborn,12.9,13524,281,15,7,3,0,INDIA,English,tutorial;case-study;advanced,0.02077787636793848,0.05338078291814947,0.4666666666666667,0.42857142857142855
C26,Machine Learning,Career roadmap for aspiring data scientists in 2024,13.8,2117,52,4,2,0,0,INDIA,English,advanced,0.02456306093528578,0.07692307692307693,0.5,0.0
C27,Crypto;Data Science,UI/UX design principles for beginners,11.0,7396,118,6,2,0,0,INDIA,English,tips,0.0159545700378583,0.05084745762711865,0.3333333333333333,0.0
