campaign,ad_group,audience_segment,placement,headline,description,keywords,QPI,CPQL,Score,decision,reason
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0011568086384400001,1014.2622222222222,0.4463262668554099,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.001189349828068318,941.4371428571429,0.6227189848975425,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0013438194255,638.4457142857143,1.404744951379115,KEEP,"QPI above Q3 (0.0013), CPQL below median (₹638)"
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0012024686327659559,893.0376923076923,0.7184850459400995,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0009648812379999999,835.8691666666667,0.19311655165348707,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.001113912338,690.5853333333333,0.7572160007054259,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.001269921812434708,765.3838461538461,1.0539492616804553,KEEP,"QPI above Q3 (0.0013), CPQL below median (₹765)"
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0010210029059191503,829.3266666666667,0.3431734666741092,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0008304725028599999,1096.5,-0.4834490748912328,PAUSE,CPQL above 1.2x median (₹1096)
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.000836947948690895,889.1418181818182,-0.19861694410690864,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.00098928353802054,573.6863636363637,0.5941642030881064,MONITOR,Performance within acceptable range
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0006463753757974199,1059.8575,-0.9004486409697595,PAUSE,QPI below Q1 (0.0006)
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.00046657964408655607,1580.7125,-2.028466618759606,PAUSE,QPI below Q1 (0.0005)
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.0005177122409236049,1546.614,-1.8553156687101626,PAUSE,QPI below Q1 (0.0005)
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.00018330445212393605,3011.08,-4.595218903739983,PAUSE,QPI below Q1 (0.0002)
DSA-India,DSA-Core,Graduates,search,Master DSA Fast,Solve 200+ problems,"dsa, interview prep",0.00127619886336,614.945,1.264579439409887,KEEP,"QPI above Q3 (0.0013), CPQL below median (₹615)"
DSA-India,DSA-Core,Graduates,search,Crack FAANG Interviews,20-week live cohort,"faang, coding interview",0.000765979479,1217.9211111111113,-0.8033749258774252,PAUSE,CPQL above 1.2x median (₹1218)
DSA-India,DSA-Core,Graduates,search,Crack FAANG Interviews,20-week live cohort,"faang, coding interview",0.0005297969009718,1417.0375,-1.6570472825369178,PAUSE,QPI below Q1 (0.0005)
DSA-India,DSA-Core,Graduates,search,Crack FAANG Interviews,20-week live cohort,"faang, coding interview",0.00042140975489751606,1805.375,-2.433324574126588,PAUSE,QPI below Q1 (0.0004)
DSA-India,DSA-Core,Graduates,search,Crack FAANG Interviews,20-week live cohort,"faang, coding interview",0.0006062089943750001,895.722,-0.7892523684975628,PAUSE,QPI below Q1 (0.0006)
DSA-India,DSA-Core,Graduates,search,Crack FAANG Interviews,20-week live cohort,"faang, coding interview",0.00043108863486012,2352.155,-3.1168990582557674,PAUSE,QPI below Q1 (0.0004)
