fit_score,posting_cadence_days,views_90d,log_views_90d,india_focused,language_score,is_educational,transcript_length,topic_count,category_count,posting_frequency_score,edtech_topic_depth,topic,category_tag,creator_tier,language,qualified_leads
0.5185341,4,30825,10.336113768706666,1,1.0,1,89,1,1,0.24390243902439027,1,React,beginner-friendly,Growing,English,274.0
0.54172117,6,5912,8.68490859582083,1,0.7,1,89,2,1,0.1639344262295082,2,React;Node.js,quick-start,Emerging,Telugu,14.0
0.59715956,3,4701,8.455743229100015,1,0.8,0,86,1,1,0.3225806451612903,0,Algorithms,beginner-friendly,Emerging,Hindi,18.0
0.5185342,5,57608,10.961434084478222,1,0.7,0,89,1,1,0.19607843137254904,0,Software Engineering,beginner-friendly,Growing,Telugu,124.0
0.5436149,4,25000,10.12667110305036,1,1.0,1,96,1,1,0.24390243902439027,1,DevOps,practical,Growing,English,71.0
0.60826945,5,9033,9.108750516214549,1,1.0,0,88,1,1,0.19607843137254904,0,Java,project-based,Emerging,English,30.0
0.53871036,2,22835,10.036093517084149,1,1.0,1,99,2,1,0.47619047619047616,2,Web Development;Interview Preparation,theory,Emerging,English,271.0
0.53871036,2,50020,10.820198196234971,1,0.8,1,99,1,1,0.47619047619047616,1,Web Development,interview-prep,Growing,Hindi,181.0
0.60826945,4,20988,9.951753769945617,1,0.7,1,88,2,1,0.24390243902439027,1,Algorithms;React,practical,Emerging,Telugu,96.0
0.66517776,5,52497,10.868530352615977,1,1.0,1,102,1,1,0.19607843137254904,1,Artificial Intelligence,career-guidance,Growing,English,166.0
0.53871036,2,34407,10.446044374463572,1,0.7,1,99,1,1,0.47619047619047616,1,Web Development,step-by-step,Growing,Telugu,135.0
0.5391074,7,38779,10.565659928796643,1,0.8,0,93,1,1,0.14084507042253522,0,Java,tutorial,Growing,Hindi,62.0
0.67507595,5,15519,9.64988479373721,1,1.0,1,95,2,1,0.19607843137254904,1,Django;Interview Preparation,beginner-friendly,Emerging,English,131.0
0.5410546,4,43479,10.680056341235145,1,1.0,1,94,1,1,0.24390243902439027,1,Interview Preparation,theory,Growing,English,311.0
0.5410546,5,20852,9.945253101768596,1,1.0,1,94,1,1,0.19607843137254904,1,Interview Preparation,quick-start,Emerging,English,138.0
0.67507595,1,76551,11.245725527459099,1,1.0,1,95,2,1,0.9090909090909091,2,PostgreSQL;Backend Development,tutorial,Growing,English,1085.0
0.5391074,3,54037,10.89744278176676,1,0.7,0,93,1,1,0.3225806451612903,0,Software Engineering,career-guidance,Growing,Telugu,161.0
0.5185341,1,74813,11.222760312224642,1,1.0,1,89,2,2,0.9090909090909091,2,Web Development;Data Science,advanced;quick-start,Growing,English,1016.0
0.63910115,3,22732,10.031572892299346,1,0.7,0,84,1,2,0.3225806451612903,0,Data Structures,step-by-step;beginner-friendly,Emerging,Telugu,73.0
0.83315516,7,64180,11.0694624957204,1,0.8,1,98,2,2,0.14084507042253522,2,SQL;Cloud Computing,theory;tutorial,Growing,Hindi,150.0
